Gene symbol	Gene Name	Ensembl Gene ID	Entrez Gene ID	Protein symbol	Historical class	Protein UniProtKB/Swiss-Prot AC	EC Number	CATH code of phosphatase domain	Phosphatase family based on CATH code of phosphatase domain	Subcellular localizations (curated from UniProt and LocDB)	References of subcellular localizations (PubMed IDs)	Tissue specificity (curated from UniProt)	References of tissue specificity (PubMed IDs)
CDC25A	cell division cycle 25 homolog A (S. pombe)	ENSG00000164045	993	CDC25A	"CDC25, cell division cycle 25 homologs (S. pombe)"	P30304	3.1.3.48	3.40.250.10	Family 3	cytoplasm; nucleus	"11416155, 15572030, 10454565, 12399544, 1828290"	N/A	N/A
CDC25B	cell division cycle 25 homolog B (S. pombe)	ENSG00000101224	994	CDC25B	"CDC25, cell division cycle 25 homologs (S. pombe)"	P30305	3.1.3.48	3.40.250.10	Family 3	cytoplasm; cytoskeleton; cytosol; nucleus	"10822367, 15456846, 1828290, 15311285"	N/A	N/A
CDC25C	cell division cycle 25 homolog C (S. pombe)	ENSG00000158402	995	CDC25C	"CDC25, cell division cycle 25 homologs (S. pombe)"	P30307	3.1.3.48	3.40.250.10	Family 3	cytoplasm; cytosol; nucleus	"11933156, 11063929, 11897663, 12766774, 1828290, 9278512, 10330186"	N/A	N/A
EYA1	eyes absent homolog 1 (Drosophila)	ENSG00000104313	2138	Eya1	"EyA, eyes absent homologs (Drosophila)"	Q99502	3.1.3.48	N/A	Family 4	cytoplasm; nucleus	"15226428, 11734542, 19234442, 12500905"	"In the embryo, highly expressed in kidney with lower levels in brain. Weakly expressed in lung. In the adult, highly expressed in heart and skeletal muscle. Weakly expressed in brain and liver. No expression in eye or kidney."	9020840
EYA2	eyes absent homolog 2 (Drosophila)	ENSG00000064655	2139	Eya2	"EyA, eyes absent homologs (Drosophila)"	O00167	3.1.3.48	N/A	Family 4	cytoplasm; nucleus	"10906137, 12500905"	"Highest expression in muscle with lower levels in kidney, placenta, pancreas, brain and heart."	"9195991, 9020840"
EYA3	eyes absent homolog 3 (Drosophila)	ENSG00000158161	2140	Eya3	"EyA, eyes absent homologs (Drosophila)"	Q99504	3.1.3.48	N/A	Family 4	cytoplasm; nucleus	"10490620, 19234442"	N/A	N/A
EYA4	eyes absent homolog 4 (Drosophila)	ENSG00000112319	2070	Eya4	"EyA, eyes absent homologs (Drosophila)"	O95677	3.1.3.48	N/A	Family 4	cytoplasm; nucleus	"11159937, 15492887"	Highly expressed in heart and skeletal muscle.	15735644
PPP1CA	"protein phosphatase 1, catalytic subunit, alpha isozyme"	ENSG00000172531	5499	PP1alpha	Protein phosphatase 1 (PP1)	P62136	3.1.3.16	3.60.21.10	Family 5	cytoplasm; cytoskeleton; nucleus	"11739654, 17965019, 2161401, 11790298, 15635413, 9282913"	N/A	N/A
PPP1CB	"protein phosphatase 1, catalytic subunit, beta isozyme"	ENSG00000213639	5500	PP1beta	Protein phosphatase 1 (PP1)	P62140	"3.1.3.16, 3.1.3.53"	3.60.21.10	Family 5	cytoplasm; nucleus	"11739654, 11790298"	N/A	N/A
PPP1CC	"protein phosphatase 1, catalytic subunit, gamma isozyme"	ENSG00000186298	5501	PP1gamma	Protein phosphatase 1 (PP1)	P36873	3.1.3.16	3.60.21.10	Family 5	centromere; cleavage furrow; cytoplasm; cytoskeleton; midbody; nucleus	"9606212, 11790298, 15635413, 11739654, 17965019, 12529430"	N/A	N/A
PPP2CA	"protein phosphatase 2, catalytic subunit, alpha isozyme"	ENSG00000113575	5515	PP2Aalpha	Protein phosphatase type 2A (PP2A)	P67775	3.1.3.16	3.60.21.10	Family 5	centromere; cytoplasm; cytoskeleton; nucleus	16541025	N/A	N/A
PPP2CB	"protein phosphatase 2, catalytic subunit, beta isozyme"	ENSG00000104695	5516	PP2Abeta	Protein phosphatase type 2A (PP2A)	P62714	3.1.3.16	3.60.21.10	Family 5	centromere; cytoplasm; cytoskeleton; nucleus	"16541025, 10781942"	N/A	N/A
PPP3CA	"protein phosphatase 3, catalytic subunit, alpha isozyme"	ENSG00000138814	5530	PP2Balpha	Protein phosphatase type 2B (PP2B/calcineurin)	Q08209	3.1.3.16	3.60.21.10	Family 5	cytoplasm	"10089876, 11982754"	N/A	N/A
PPP3CB	"protein phosphatase 3, catalytic subunit, beta isozyme"	ENSG00000107758	5532	PP2Bbeta	Protein phosphatase type 2B (PP2B/calcineurin)	P16298	3.1.3.16	3.60.21.10	Family 5	cytoplasm; nucleus	"15819996, 7593193"	N/A	N/A
PPP3CC	"protein phosphatase 3, catalytic subunit, gamma isozyme"	ENSG00000120910	5533	PP2Bgamma	Protein phosphatase type 2B (PP2B/calcineurin)	P48454	3.1.3.16	3.60.21.10	Family 5	cytosol	10195903	Testis.	1339277
PPP4C	"protein phosphatase 4, catalytic subunit"	ENSG00000149923	5531	PP4c	Protein phosphatase 4 (PP4)	P60510	3.1.3.16	3.60.21.10	Family 5	cytoplasm; cytoskeleton; nucleus	"9359419, 8384557"	N/A	N/A
PPP5C	"protein phosphatase 5, catalytic subunit"	ENSG00000011485	5536	PP5	Protein phosphatase 5 (PP5)	P53041	3.1.3.16	3.60.21.10	Family 5	cytoplasm; nucleus; plasma membrane	"15383005, 7925273, 10400612, 12176367"	Ubiquitous.	"7925273, 8666404"
PPP6C	"protein phosphatase 6, catalytic subunit"	ENSG00000119414	5537	PP6	Protein phosphatase 6 (PP6) 	O00743	3.1.3.16	3.60.21.10	Family 5	cytoplasm; nucleus	"17568194, 16769727, 9013334"	"Ubiquitously expressed in all tissues tested with highest expression levels in testis, heart, kidney, brain, stomach, liver and skeletal muscle and lowest in placenta, lung colon and spleen."	"9013334, 16769727"
PPEF1	"protein phosphatase, EF-hand calcium binding domain 1"	ENSG00000086717	5475	PPEF1/PP7	Protein phosphatase 7 (PP7/PPEF)	O14829	3.1.3.16	3.60.21.10	Family 5	extracellular region	"14718574, 15531584"	Detected in retina and retinal derived Y-79 retinoblastoma cells. Also found in fetal brain.	"9430683, 9215685, 9326663"
PPEF2	"protein phosphatase, EF-hand calcium binding domain 2"	ENSG00000156194	5470	PPEF2	Protein phosphatase 7 (PP7/PPEF)	O14830	3.1.3.16	3.60.21.10	Family 5	cell projection; photoreceptor	9326663	Retinal specific (Probable).	9326663
ILKAP	integrin-linked kinase-associated serine/threonine phosphatase	ENSG00000132323	80895	ILKAP	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q9H0C8	3.1.3.16	3.60.40.10	Family 6	cytoplasm	11331582	Widely expressed. Highest levels expressed in striated muscle. Much lower levels evident in various smooth muscle tissues.	11331582
PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1	ENSG00000164951	54704	PDP1	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q9P0J1	3.1.3.43	3.60.40.10	Family 6	mitochondrion	9651365	N/A	N/A
PDP2	pyruvate dehyrogenase phosphatase catalytic subunit 2	ENSG00000172840	57546	PDP2	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q9P2J9	3.1.3.43	3.60.40.10	Family 6	N/A	N/A	N/A	N/A
PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	ENSG00000081913	23239	PHLPP1	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	O60346	3.1.3.16	3.60.40.10	Family 6	cytoplasm; membrane; nucleus	"17386267, 19079341"	"In colorectal cancer tissue, expression is highest in the surface epithelium of normal colonic mucosa adjacent to the cancer tissue but is largely excluded from the crypt bases. Expression is lost or significantly decreased in 78% of tested tumors (at protein level). Ubiquitously expressed in non-cancerous tissues."	"15808505, 19079341"
PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	ENSG00000040199	23035	PHLPP2	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q6ZVD8	3.1.3.16	3.60.40.10	Family 6	cytoplasm; membrane; nucleus	"17386267, 19079341"	"In colorectal cancer tissue, expression is highest in the surface epithelium of normal colonic mucosa adjacent to the cancer tissue but is largely excluded from the crypt bases. Expression is lost or significantly decreased in 80% of tested tumors (at protein level)."	19079341
PPM1A	"protein phosphatase, Mg2+/Mn2+ dependent, 1A"	ENSG00000100614	5494	PP2Calpha	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	P35813	3.1.3.16	3.60.40.10	Family 6	cytoplasm; nucleus	"9003755, 11479720"	N/A	N/A
PPM1B	"protein phosphatase, Mg2+/Mn2+ dependent, 1B"	ENSG00000138032	5495	PP2Cbeta	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	O75688	3.1.3.16	3.60.40.10	Family 6	cytoplasm	11563908	Highly expressed in heart and skeletal muscle.	9684878
PPM1D	"protein phosphatase, Mg2+/Mn2+ dependent, 1D"	ENSG00000170836	8493	PP2Cdelta	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	O15297	3.1.3.16	3.60.40.10	Family 6	nucleus	9177166	N/A	N/A
PPM1E	"protein phosphatase, Mg2+/Mn2+ dependent, 1E"	ENSG00000175175	22843	CaMKP-N	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q8WY54	3.1.3.16	3.60.40.10	Family 6	cytoplasm; nucleus	"15496589, 16269004"	N/A	N/A
PPM1F	"protein phosphatase, Mg2+/Mn2+ dependent, 1F"	ENSG00000100034	9647	CaMKPase	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	P49593	3.1.3.16	3.60.40.10	Family 6	cytoplasm	11559703	N/A	N/A
PPM1G	"protein phosphatase, Mg2+/Mn2+ dependent, 1G"	ENSG00000115241	5496	PP2Cgamma	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	O15355	3.1.3.16	3.60.40.10	Family 6	nucleus	"9271424, 9887102"	"Widely expressed. Most abundant in testis, skeletal muscle, and heart."	9276438
PPM1H	"protein phosphatase, Mg2+/Mn2+ dependent, 1H"	ENSG00000111110	57460	PPM1H	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q9ULR3	3.1.3.16	3.60.40.10	Family 6	N/A	N/A	N/A	N/A
PPM1J	"protein phosphatase, Mg2+/Mn2+ dependent, 1J"	ENSG00000155367	333926	PP2Czeta	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q5JR12	3.1.3.16	3.60.40.10	Family 6	N/A	N/A	N/A	N/A
PPM1K	"protein phosphatase, Mg2+/Mn2+ dependent, 1K"	ENSG00000163644	152926	PP2Ckappa	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q8N3J5	3.1.3.16	3.60.40.10	Family 6	mitochondrion	"17374715, 17336929"	N/A	N/A
PPM1L	"protein phosphatase, Mg2+/Mn2+ dependent, 1L"	ENSG00000163590	151742	PP2Cepsilon	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q5SGD2	3.1.3.16	3.60.40.10	Family 6	N/A	N/A	"Ubiquitous. Highly expressed in heart, placenta, lung, liver, kidney and pancreas."	15560375
PPM1M	"protein phosphatase, Mg2+/Mn2+ dependent, 1M"	ENSG00000164088	132160	PP2Ceta	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q96MI6	3.1.3.16	3.60.40.10	Family 6	nucleus	14654243	N/A	N/A
PPM1N	"protein phosphatase, Mg2+/Mn2+ dependent, 1N (putative)"	ENSG00000213889	147699	PPM1N	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q8N819	3.1.3.16	3.60.40.10	Family 6	N/A	N/A	N/A	N/A
PPTC7	PTC7 protein phosphatase homolog (S. cerevisiae)	ENSG00000196850	160760	TA-PP2C	Protein phosphatase Mg2+ or Mn2+ dependent (PPM or PP2C)	Q8NI37	3.1.3.16	3.60.40.10	Family 6	N/A	N/A	N/A	N/A
CTDNEP1	CTD nuclear envelope phosphatase 1	ENSG00000175826	23399	DULLARD	TFIIF-associating component of RNA polymerase II CTD phosphatase/small CTD phosphatase (FCP/SCP)	O95476	3.1.3.16	3.40.50.1000	Family 7	endoplasmic reticulum; nucleus	"17420445, 16533400"	N/A	N/A
CTDP1	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1"	ENSG00000060069	9150	FCP1	TFIIF-associating component of RNA polymerase II CTD phosphatase/small CTD phosphatase (FCP/SCP)	Q9Y5B0	3.1.3.16	3.40.50.1000	Family 7	nucleus	"9765293, 12676794"	"Ubiquitously expressed. Isoform 3 is expressed in heart, brain, placenta, lung, liver, skeletal muscle, kidney and placenta."	9765293
CTDSP1	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1"	ENSG00000144579	58190	SCP1	TFIIF-associating component of RNA polymerase II CTD phosphatase/small CTD phosphatase (FCP/SCP)	Q9GZU7	3.1.3.16	3.40.50.1000	Family 7	nucleus	12721286	"Expression is restricted to non-neuronal tissues. Highest expression in skeletal muscle, spleen, lung and placenta."	15681389
CTDSP2	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"	ENSG00000175215	10106	SCP2	TFIIF-associating component of RNA polymerase II CTD phosphatase/small CTD phosphatase (FCP/SCP)	O14595	3.1.3.16	3.40.50.1000	Family 7	N/A	N/A	Expression is restricted to non-neuronal tissues. Highest expression in pancreas and lowest in liver.	15681389
CTDSPL	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"	ENSG00000144677	10217	SCP3	TFIIF-associating component of RNA polymerase II CTD phosphatase/small CTD phosphatase (FCP/SCP)	O15194	3.1.3.16	3.40.50.1000	Family 7	cytoplasm	15051889	Expression is restricted to non-neuronal tissues.	15681389
CTDSPL2	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2"	ENSG00000137770	51496	CTDSP-like 2	TFIIF-associating component of RNA polymerase II CTD phosphatase/small CTD phosphatase (FCP/SCP)	Q05D32	3.1.3.-	3.40.50.1000	Family 7	cytoskeleton	16381948	N/A	N/A
UBLCP1	ubiquitin-like domain containing CTD phosphatase 1	ENSG00000164332	134510	UBLCP1	TFIIF-associating component of RNA polymerase II CTD phosphatase/small CTD phosphatase (FCP/SCP)	Q8WVY7	3.1.3.16	3.40.50.1000	Family 7	nucleus	15883030	"Broadly expressed, with highest levels in placenta, lung, testis and ovary. Up-regulated in tumor tissues."	15883030
LPPR2	lipid phosphate phosphatase-related protein type 2	ENSG00000105520	64748	LPPR2	Phosphatidic acid phosphatase (PAP) family	Q96GM1	3.1.3.4	1.20.144.10	Family 12	N/A	N/A	N/A	N/A
LPPR3	lipid phosphate phosphatase-related protein type 3	ENSG00000129951	79948	LPPR3	Phosphatidic acid phosphatase (PAP) family	Q6T4P5	3.1.3.4	1.20.144.10	Family 12	N/A	N/A	N/A	N/A
LPPR4	lipid phosphate phosphatase-related protein type 4	ENSG00000117600	9890	LPPR4	Phosphatidic acid phosphatase (PAP) family	Q7Z2D5	3.1.3.4	1.20.144.10	Family 12	N/A	N/A	Specifically expressed in neurons.	12730698
LPPR5	lipid phosphate phosphatase-related protein type 5	ENSG00000117598	163404	LPPR5	Phosphatidic acid phosphatase (PAP) family	Q32ZL2	3.1.3.-	1.20.144.10	Family 12	N/A	N/A	"Isoform 1 is expressed in brain, lung, kidney and colon. Isoform 2 is expressed in placenta, skeletal muscle and kidney."	16010976
PPAP2A	phosphatidic acid phosphatase type 2A	ENSG00000067113	8611	PAP2a	Phosphatidic acid phosphatase (PAP) family	O14494	3.1.3.4	1.20.144.10	Family 12	cytosol; plasma membrane	9705349	"Ubiquitously expressed with highest expression found in prostate. Isoform 1 is predominant in kidney, lung, placenta and liver. Isoform 2 is predominant in heart and pancreas. Found to be down-regulated in colon adenocarcinomas."	"9305923, 9570154"
PPAP2B	phosphatidic acid phosphatase type 2B	ENSG00000162407	8613	PAP2b	Phosphatidic acid phosphatase (PAP) family	O14495	3.1.3.4	1.20.144.10	Family 12	cytosol; plasma membrane	"9705349, 10564277"	Ubiquitously expressed. Highly expressed in heart and placenta.	"9305923, 9705349"
PPAP2C	phosphatidic acid phosphatase type 2C	ENSG00000141934	8612	PAP2c	Phosphatidic acid phosphatase (PAP) family	O43688	3.1.3.4	1.20.144.10	Family 12	cytosol; plasma membrane; vesicle	"9705349, 15960610"	"Found mainly in brain, pancreas and placenta."	"9607309, 9705349"
PPAPDC1A	phosphatidic acid phosphatase type 2 domain containing 1A	ENSG00000203805	196051	DPPL2	Phosphatidic acid phosphatase (PAP) family	Q5VZY2	3.1.3.4	1.20.144.10	Family 12	N/A	N/A	"Expressed mainly to the brain, kidney and testis, and to a lesser extent the bone marrow, thymus, prostate, liver and uterus."	17590538
PPAPDC1B	phosphatidic acid phosphatase type 2 domain containing 1B	ENSG00000147535	84513	DPPL1	Phosphatidic acid phosphatase (PAP) family	Q8NEB5	3.1.3.4	1.20.144.10	Family 12	N/A	N/A	Ubiquitous.	17590538
PPAPDC2	phosphatidic acid phosphatase type 2 domain containing 2	ENSG00000205808	403313	PPAPDC2	Phosphatidic acid phosphatase (PAP) family	Q8IY26	3.1.3.-	1.20.144.10	Family 12	N/A	N/A	"Widely expressed. Expressed in most organs, in particular gastrointestinal organs, spleen, placenta, kidney, thymus and brain."	16464866
PPAPDC3	phosphatidic acid phosphatase type 2 domain containing 3	ENSG00000160539	84814	PPAPDC3	Phosphatidic acid phosphatase (PAP) family	Q8NBV4	3.1.3.-	1.20.144.10	Family 12	nucleus	17062158	N/A	N/A
INPP5A	"inositol polyphosphate-5-phosphatase, 40kDa"	ENSG00000068383	3632	INPP5A	"Inositol-1,4,5-trisphosphate 5-phosphatase family"	Q14642	3.1.3.56	3.60.10.10	Family 11	cytosol; plasma membrane	"8013665, 8006039"	Brain; high level in Purkinje cells.	8013665
INPP5B	"inositol polyphosphate-5-phosphatase, 75kDa"	ENSG00000204084	3633	INPP5B	"Inositol-1,4,5-trisphosphate 5-phosphatase family"	P32019	3.1.3.36	3.60.10.10	Family 11	cytoplasm; golgi apparatus; mitochondrion; plasma membrane	"7721860, 2542294, 8529643"	Platelets.	1718960
INPP5D	"inositol polyphosphate-5-phosphatase, 145kDa"	ENSG00000168918	3635	SHIP1	"Inositol-1,4,5-trisphosphate 5-phosphatase family"	Q92835	3.1.3.n1	3.60.10.10	Family 11	cytoplasm; cytosol; plasma membrane	"9341117, 10350061, 10822173"	"Specifically expressed in immune and hematopoietic cells. Expressed in bone marrow and blood cells. Levels vary considerably within this compartment. Present in at least 74% of immature CD34+ cells, whereas within the more mature population of CD33+ cells, it is present in only 10% of cells. Present in the majority of T-cells, while it is present in a minority of B-cells (at protein level)."	"8769125, 8874179, 9058707, 9108392"
INPP5E	"inositol polyphosphate-5-phosphatase, 72 kDa"	ENSG00000148384	56623	INPP5E	"Inositol-1,4,5-trisphosphate 5-phosphatase family"	Q9NRR6	3.1.3.36	3.60.10.10	Family 11	cytoplasm; cytoskeleton; golgi apparatus	"10806194, 19668215, 19668216"	"Detected in brain, heart, pancreas, testis and spleen."	10764818
INPP5J	inositol polyphosphate-5-phosphatase J	ENSG00000185133	27124	INPP5J	"Inositol-1,4,5-trisphosphate 5-phosphatase family"	Q15735	3.1.3.56	3.60.10.10	Family 11	cytoplasm; plasma membrane	"12536145, 10593988"	N/A	N/A
INPP5K	inositol polyphosphate-5-phosphatase K	ENSG00000132376	51763	INPP5K	"Inositol-1,4,5-trisphosphate 5-phosphatase family"	Q9BT40	3.1.3.56	3.60.10.10	Family 11	cytoplasm; endoplasmic reticulum; golgi apparatus; plasma membrane	"10753883, 12536145, 12556481"	"Ubiquitously expressed with highest levels in skeletal muscle, heart and kidney."	10753883
INPPL1	inositol polyphosphate phosphatase-like 1	ENSG00000165458	3636	SHIP2	"Inositol-1,4,5-trisphosphate 5-phosphatase family"	O15357	3.1.3.n1	3.60.10.10	Family 11	cytoplasm; cytoskeleton; cytosol; extracellular region; nucleus; plasma membrane	"14718574, 11349134, 12847108, 11739414, 12676785"	"Widely expressed, most prominently in skeletal muscle, heart and brain. Present in platelets. Expressed in transformed myeloid cells and in primary macrophages, but not in peripheral blood monocytes."	"8530088, 9367831, 9660833, 12676785, 12690104"
OCRL	oculocerebrorenal syndrome of Lowe	ENSG00000122126	4952	OCRL-1	"Inositol-1,4,5-trisphosphate 5-phosphatase family"	Q01968	3.1.3.36	3.60.10.10	Family 11	endosome	20133602	"Brain, skeletal muscle, heart, kidney, lung, placenta and fibroblasts."	9374843
SYNJ1	synaptojanin 1	ENSG00000159082	8867	Synaptojanin-1	"Inositol-1,4,5-trisphosphate 5-phosphatase family"	O43426	3.1.3.36	3.60.10.10	Family 11	vesicle	9428629	Concentrated at clathrin-coated endocytic intermediates in nerve terminals. Isoform 1 is more enriched than isoform 2 in developing brain as well as non-neuronal cells. Isoform 2 is very abundant in nerve terminals.	"9428629, 10048485"
SYNJ2	synaptojanin 2	ENSG00000078269	8871	Synaptojanin-2	"Inositol-1,4,5-trisphosphate 5-phosphatase family"	O15056	3.1.3.36	3.60.10.10	Family 11	cytoplasm; mitochondrion; plasma membrane	"11084340, 10357812"	N/A	N/A
BPGM	"2,3-bisphosphoglycerate mutase"	ENSG00000172331	669	BPGM	Phosphoglycerate mutase family	P07738	"3.1.3.13, 5.4.2.1, 5.4.2.4"	3.40.50.1240	Family 8	cytoplasm; extracellular region	"14718574, 1320611"	N/A	N/A
C12orf5	chromosome 12 open reading frame 5	ENSG00000078237	57103	TIGAR	Phosphoglycerate mutase family	Q9NQ88	3.1.3.46	3.40.50.1240	Family 8	N/A	N/A	N/A	N/A
PFKFB1	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"	ENSG00000158571	5207	PFK/FBPase 1	Phosphoglycerate mutase family	P16118	"3.1.3.46, 2.7.1.105"	3.40.50.1240	Family 8	cytoplasm; cytosol; nucleus	"2540168, 2837207"	Liver.	"2163524, 2837207"
PFKFB2	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"	ENSG00000123836	5208	PFK/FBPase 2	Phosphoglycerate mutase family	O60825	"3.1.3.46, 2.7.1.105"	3.40.50.1240	Family 8	cytosol; mitochondrion	"7904197, 9464277"	Heart.	9652401
PFKFB3	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"	ENSG00000170525	5209	PFK/FBPase 3	Phosphoglycerate mutase family	Q16875	"3.1.3.46, 2.7.1.105"	3.40.50.1240	Family 8	cytosol	15896703	Ubiquitous.	"10072580, 8830046"
PFKFB4	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"	ENSG00000114268	5210	PFK/FBPase 4	Phosphoglycerate mutase family	Q16877	"3.1.3.46, 2.7.1.105"	3.40.50.1240	Family 8	cytosol	10095107	N/A	N/A
PGAM1	phosphoglycerate mutase 1 (brain)	ENSG00000171314	5223	PGAM-B	Phosphoglycerate mutase family	P18669	"3.1.3.13, 5.4.2.1, 5.4.2.4"	3.40.50.1240	Family 8	cytoplasm	2822696	In mammalian tissues there are two types of phosphoglycerate mutase isozymes: type-M in muscles and type-B in other tissues.	"2822696, 2846553"
PGAM2	phosphoglycerate mutase 2 (muscle)	ENSG00000164708	5224	PGAM-M	Phosphoglycerate mutase family	P15259	"3.1.3.13, 5.4.2.1, 5.4.2.4"	3.40.50.1240	Family 8	cytoplasm	2822696	In mammalian tissues there are two types of phosphoglycerate mutase isozymes: type-M in muscles and type-B in other tissues.	"2822696, 2846553, 2145198"
PGAM4	phosphoglycerate mutase family member 4	ENSG00000226784	441531	PGAM-4	Phosphoglycerate mutase family	Q8N0Y7	"3.1.3.13, 5.4.2.1, 5.4.2.4"	3.40.50.1240	Family 8	N/A	N/A	N/A	N/A
PGAM5	phosphoglycerate mutase family member 5	ENSG00000176894	192111	PGAM5	Phosphoglycerate mutase family	Q96HS1	3.1.3.16	3.40.50.1240	Family 8	mitochondrion	18387606	N/A	N/A
MDP1	magnesium-dependent phosphatase 1	ENSG00000213920	145553	MDP-1	HAD-like hydrolase	Q86V88	"3.1.3.-, 3.1.3.48"	3.40.50.1000	Family 7	N/A	N/A	N/A	N/A
PDXP	"pyridoxal (pyridoxine, vitamin B6) phosphatase"	ENSG00000241360	57026	PLPP	HAD-like hydrolase	Q96GD0	"3.1.3.3, 3.1.3.74"	3.40.50.1000	Family 7	cytoplasm; cytosol; cytoskeleton; cell projection; plasma membrane	15580268	"Ubiquitous. Highly expressed in all the regions of central nerve system except the spinal cord. Also expressed at high level in liver and testis. In fetus, it is weakly expressed in all organs except brain."	"14522954, 15580268"
PGP	phosphoglycolate phosphatase	ENSG00000184207	283871	PGP	HAD-like hydrolase	A6NDG6	3.1.3.18	"3.40.50.1000, 3.40.50.10410"	Family 7	N/A	N/A	"Detected in all tissues including red cells, lymphocytes and cultured fibroblasts (at protein level). The highest activities occur in skeletal muscle and cardiac muscle."	215071
ENOPH1	enolase-phosphatase 1	ENSG00000145293	58478	ENOPH1	HAD-like hydrolase	Q9UHY7	3.1.3.77	3.40.50.1000	Family 7	N/A	N/A	N/A	N/A
NANP	N-acetylneuraminic acid phosphatase	ENSG00000170191	140838	Neu5Ac-9-Pase	HAD-like hydrolase	Q8TBE9	3.1.3.29	3.40.50.1000	Family 7	N/A	N/A	N/A	N/A
PHOSPHO1	"phosphatase, orphan 1"	ENSG00000173868	162466	PHOSPHO1	HAD-like hydrolase	Q8TCT1	3.1.3.75	3.40.50.1000	Family 7	N/A	N/A	"Expressed at sites of mineralization in bone and cartilage. Highly expressed in osteoblast cell line SaOS-2 which produces a mineralized matrix, but not in MG-63 cell line, which do not mineralize."	15050893
PHOSPHO2	"phosphatase, orphan 2"	ENSG00000144362	493911	PHOSPHO2	HAD-like hydrolase	Q8TCD6	3.1.3.74	3.40.50.1000	Family 7	N/A	N/A	N/A	N/A
ACP2	"acid phosphatase 2, lysosomal"	ENSG00000134575	53	LAP	Histidine acid phosphatase	P11117	3.1.3.2	3.40.50.1240	Family 8	endosome; golgi apparatus; lysosome; plasma membrane; vacuole	"11801736, 3056714, 2684640"	N/A	N/A
ACP6	"acid phosphatase 6, lysophosphatidic"	ENSG00000162836	51205	ACP6	Histidine acid phosphatase	Q9NPH0	3.1.3.2	3.40.50.1240	Family 8	cytoplasm; mitochondrion	"12010880, 10506173"	"Highly expressed in kidney, heart, small intestine, muscle, liver, prostate, testis, ovary and weakly expressed in thymus and colon."	"10506173, 12010880"
ACPL2	acid phosphatase-like 2	ENSG00000155893	92370	ACPL2	Histidine acid phosphatase	Q8TE99	3.1.3.2	3.40.50.1240	Family 8	N/A	N/A	N/A	N/A
ACPP	"acid phosphatase, prostate"	ENSG00000014257	55	ACPP	Histidine acid phosphatase	P15309	"3.1.3.2, 3.1.3.5"	3.40.50.1240	Family 8	cytoplasm; extracellular region; lysosome; nucleus; secreted; vacuole; plasma membrane	"12525165, 11547122, 9187691, 10477906, 12433721, 2411954, 7923807, 17897319, 17638863"	"Highly expressed in the prostate, restricted to glandular and ductal epithelial cells. Also expressed in bladder, kidney, pancreas, lung, cervix, testis and ovary. Weak expression in a subset of pancreatic islet cells, squamous epithelia, the pilosebaceous unit, colonic neuroendocrine cells and skin adnexal structures. Isoform 2 also expressed in the sarcolemma of skeletal muscle. Levels of this cellular isoform decreased in prostate cancer."	"17638863, 21487525"
ACPT	"acid phosphatase, testicular"	ENSG00000142513	93650	ACPT	Histidine acid phosphatase	Q9BZG2	3.1.3.2	3.40.50.1240	Family 8	N/A	N/A	"Expressed mainly in the testis. Also expressed in the brain where they are enriched at the post-synaptic sites. Expressed at lower levels in the trachea, prostate, bone marrow, spinal cord, colon, fetal brain, heart, thymus, fetal liver, spleen, leukocytes, ovary, small intestine, pancreas and skeletal muscle. Expression is significantly lower in testicular cancer tissues than in normal testicular tissues. Isoform 3 is expressed in the testis, trachea, prostate and bone marrow."	11414767
